"event","Gastropoda","Staphylinidae","Diptera","Araneae","Diplopoda","Coleoptera","Isopoda","Insecta","Opiliones","Orthoptera","Arthropoda","Formicidae","Acari","Collembola","Opilioacarida","Aphaenogaster","Myrmicinae","Dorymyrmex","Formicinae","Annelida","Hymenoptera","Arachnida","Solenopsis","Scarabaeidae","Camponotus","Hemiptera","Crematogaster","Formica","Pheidole","Pogonomyrmex","Zygentoma","Canthon","Tenebrionidae","Lepidoptera","Neivamyrmex","Forelius","Canthon.viridis","Novomessor"
"NIWO00220160628",0,1,4,8,0,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIWO00220160809",0,4,2,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"NIWO00220160906",0,2,7,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
"NIWO00320160628",0,0,5,8,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
"NIWO00320160726",0,0,9,6,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"NIWO00320160906",0,0,5,6,0,3,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
"NOGP00520160524",0,2,4,2,1,5,0,0,0,7,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
"NOGP00520160719",0,0,3,3,0,1,1,1,0,7,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NOGP00520160913",1,1,18,10,1,6,1,1,0,9,0,0,9,8,0,0,1,0,1,2,1,1,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0
"NOGP00920160524",0,1,1,3,2,2,1,1,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"NOGP00920160719",0,1,6,1,1,2,1,0,0,5,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NOGP00920160913",0,1,5,6,2,2,1,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OAES00520160406",1,0,5,6,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0
"OAES00520160629",0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"OAES00720160406",0,1,2,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"OAES00720160907",1,0,9,5,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
"ONAQ00220160426",0,0,5,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ONAQ00220160705",0,0,5,2,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0
"ONAQ00220160913",0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ONAQ02320160426",0,0,10,3,0,0,0,2,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ONAQ02320160705",0,0,12,4,0,1,1,3,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0
"ONAQ02320160913",0,0,21,7,0,2,0,2,0,5,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0
"ORNL00120160329",0,0,1,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"ORNL00120160705",3,0,8,4,1,1,0,3,0,6,1,0,2,1,0,1,0,0,1,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"ORNL00120160927",0,0,0,1,1,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ORNL02120160329",1,0,4,2,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ORNL02120160705",1,0,7,8,0,3,0,3,0,5,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"ORNL02120161011",0,1,3,1,0,3,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL02920160329",0,0,1,2,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL02920160705",0,0,6,0,0,3,0,5,1,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
"ORNL02920161011",0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"OSBS00120160407",0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OSBS00120160630",0,0,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSBS00120160908",0,0,3,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OSBS00420160407",0,0,1,2,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSBS00420160630",0,0,2,3,0,4,0,5,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OSBS00420160908",0,0,5,1,0,1,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"OSBS02220160407",0,0,7,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"OSBS02220160630",0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSBS02220160908",1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCBI00420160719",0,0,2,8,3,1,1,4,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SCBI00420160927",0,0,6,4,1,0,0,5,4,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"SCBI00620160426",1,1,10,10,3,3,2,1,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0
"SCBI00620160719",1,2,5,12,2,5,1,5,0,5,1,0,1,4,0,0,0,0,0,2,1,1,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0
"SCBI00620160927",0,1,7,4,1,5,1,3,1,7,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0
"SERC00320160519",0,0,4,5,2,1,0,1,0,0,0,0,1,4,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0
"SRER00120160412",0,0,0,1,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"SRER00120160719",0,0,5,3,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,1
"SRER00120161011",0,0,2,1,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"SRER00620160426",0,0,5,2,0,1,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,1
"SRER00620160719",0,0,5,2,0,2,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,5,0,0,0,1
"SRER00620161011",0,0,6,7,0,1,0,2,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,3,0,0,0,1
"STEI00220160720",1,1,13,1,0,6,1,4,0,1,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
"STEI00220160914",3,0,8,3,0,3,1,2,0,0,0,0,3,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
